MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
13.01.2023 02:00 - 13.01.2023 03:00;900;EUR;
13.01.2023 03:00 - 13.01.2023 04:00;265;EUR;
13.01.2023 04:00 - 13.01.2023 05:00;335;EUR;
13.01.2023 05:00 - 13.01.2023 06:00;2526;EUR;
13.01.2023 06:00 - 13.01.2023 07:00;5474;EUR;
13.01.2023 07:00 - 13.01.2023 08:00;8788;EUR;
13.01.2023 08:00 - 13.01.2023 09:00;10595;EUR;
13.01.2023 09:00 - 13.01.2023 10:00;10064;EUR;
13.01.2023 10:00 - 13.01.2023 11:00;9485;EUR;
13.01.2023 11:00 - 13.01.2023 12:00;8493;EUR;
13.01.2023 12:00 - 13.01.2023 13:00;7653;EUR;
13.01.2023 13:00 - 13.01.2023 14:00;7024;EUR;
13.01.2023 14:00 - 13.01.2023 15:00;7355;EUR;
13.01.2023 15:00 - 13.01.2023 16:00;7985;EUR;
13.01.2023 16:00 - 13.01.2023 17:00;8531;EUR;
13.01.2023 17:00 - 13.01.2023 18:00;9690;EUR;
13.01.2023 18:00 - 13.01.2023 19:00;9697;EUR;
13.01.2023 19:00 - 13.01.2023 20:00;9591;EUR;
13.01.2023 20:00 - 13.01.2023 21:00;8494;EUR;
13.01.2023 21:00 - 13.01.2023 22:00;7689;EUR;
13.01.2023 22:00 - 13.01.2023 23:00;7651;EUR;
13.01.2023 23:00 - 14.01.2023 00:00;6830;EUR;
14.01.2023 00:00 - 14.01.2023 01:00;2568;EUR;
14.01.2023 01:00 - 14.01.2023 02:00;3462;EUR;
14.01.2023 02:00 - 14.01.2023 03:00;4470;EUR;
14.01.2023 03:00 - 14.01.2023 04:00;4123;EUR;
14.01.2023 04:00 - 14.01.2023 05:00;4070;EUR;
14.01.2023 05:00 - 14.01.2023 06:00;4068;EUR;
14.01.2023 06:00 - 14.01.2023 07:00;4510;EUR;
14.01.2023 07:00 - 14.01.2023 08:00;5340;EUR;
14.01.2023 08:00 - 14.01.2023 09:00;5363;EUR;
14.01.2023 09:00 - 14.01.2023 10:00;5689;EUR;
14.01.2023 10:00 - 14.01.2023 11:00;6672;EUR;
14.01.2023 11:00 - 14.01.2023 12:00;6556;EUR;
14.01.2023 12:00 - 14.01.2023 13:00;6539;EUR;
14.01.2023 13:00 - 14.01.2023 14:00;6269;EUR;
14.01.2023 14:00 - 14.01.2023 15:00;4215;EUR;
14.01.2023 15:00 - 14.01.2023 16:00;1992;EUR;
14.01.2023 16:00 - 14.01.2023 17:00;904;EUR;
14.01.2023 17:00 - 14.01.2023 18:00;1104;EUR;
14.01.2023 18:00 - 14.01.2023 19:00;1369;EUR;
14.01.2023 19:00 - 14.01.2023 20:00;684;EUR;
14.01.2023 20:00 - 14.01.2023 21:00;903;EUR;
14.01.2023 21:00 - 14.01.2023 22:00;907;EUR;
14.01.2023 22:00 - 14.01.2023 23:00;590;EUR;
14.01.2023 23:00 - 15.01.2023 00:00;519;EUR;
15.01.2023 00:00 - 15.01.2023 01:00;394;EUR;
15.01.2023 01:00 - 15.01.2023 02:00;171;EUR;
15.01.2023 02:00 - 15.01.2023 03:00;410;EUR;
15.01.2023 03:00 - 15.01.2023 04:00;265;EUR;
15.01.2023 04:00 - 15.01.2023 05:00;287;EUR;
15.01.2023 05:00 - 15.01.2023 06:00;401;EUR;
15.01.2023 06:00 - 15.01.2023 07:00;158;EUR;
15.01.2023 07:00 - 15.01.2023 08:00;174;EUR;
15.01.2023 08:00 - 15.01.2023 09:00;908;EUR;
15.01.2023 09:00 - 15.01.2023 10:00;1031;EUR;
15.01.2023 10:00 - 15.01.2023 11:00;901;EUR;
15.01.2023 11:00 - 15.01.2023 12:00;803;EUR;
15.01.2023 12:00 - 15.01.2023 13:00;676;EUR;
15.01.2023 13:00 - 15.01.2023 14:00;42;EUR;
15.01.2023 14:00 - 15.01.2023 15:00;29;EUR;
15.01.2023 15:00 - 15.01.2023 16:00;82;EUR;
15.01.2023 16:00 - 15.01.2023 17:00;1369;EUR;
15.01.2023 17:00 - 15.01.2023 18:00;3090;EUR;
15.01.2023 18:00 - 15.01.2023 19:00;2695;EUR;
15.01.2023 19:00 - 15.01.2023 20:00;2527;EUR;
15.01.2023 20:00 - 15.01.2023 21:00;1217;EUR;
15.01.2023 21:00 - 15.01.2023 22:00;1969;EUR;
15.01.2023 22:00 - 15.01.2023 23:00;3214;EUR;
15.01.2023 23:00 - 16.01.2023 00:00;3747;EUR;
16.01.2023 00:00 - 16.01.2023 01:00;6001;EUR;
16.01.2023 01:00 - 16.01.2023 02:00;6001;EUR;
16.01.2023 02:00 - 16.01.2023 03:00;6272;EUR;
16.01.2023 03:00 - 16.01.2023 04:00;5610;EUR;
16.01.2023 04:00 - 16.01.2023 05:00;6330;EUR;
16.01.2023 05:00 - 16.01.2023 06:00;8700;EUR;
16.01.2023 06:00 - 16.01.2023 07:00;15463;EUR;
16.01.2023 07:00 - 16.01.2023 08:00;17511;EUR;
16.01.2023 08:00 - 16.01.2023 09:00;18599;EUR;
16.01.2023 09:00 - 16.01.2023 10:00;17000;EUR;
16.01.2023 10:00 - 16.01.2023 11:00;15020;EUR;
16.01.2023 11:00 - 16.01.2023 12:00;15089;EUR;
16.01.2023 12:00 - 16.01.2023 13:00;14704;EUR;
16.01.2023 13:00 - 16.01.2023 14:00;14087;EUR;
16.01.2023 14:00 - 16.01.2023 15:00;14124;EUR;
16.01.2023 15:00 - 16.01.2023 16:00;14569;EUR;
16.01.2023 16:00 - 16.01.2023 17:00;15081;EUR;
16.01.2023 17:00 - 16.01.2023 18:00;16679;EUR;
16.01.2023 18:00 - 16.01.2023 19:00;17372;EUR;
16.01.2023 19:00 - 16.01.2023 20:00;15050;EUR;
16.01.2023 20:00 - 16.01.2023 21:00;13697;EUR;
16.01.2023 21:00 - 16.01.2023 22:00;12774;EUR;
16.01.2023 22:00 - 16.01.2023 23:00;12324;EUR;
16.01.2023 23:00 - 17.01.2023 00:00;10940;EUR;
17.01.2023 00:00 - 17.01.2023 01:00;9824;EUR;
17.01.2023 01:00 - 17.01.2023 02:00;9461;EUR;
17.01.2023 02:00 - 17.01.2023 03:00;9191;EUR;
17.01.2023 03:00 - 17.01.2023 04:00;8951;EUR;
17.01.2023 04:00 - 17.01.2023 05:00;9177;EUR;
17.01.2023 05:00 - 17.01.2023 06:00;10000;EUR;
17.01.2023 06:00 - 17.01.2023 07:00;11696;EUR;
17.01.2023 07:00 - 17.01.2023 08:00;14080;EUR;
17.01.2023 08:00 - 17.01.2023 09:00;15196;EUR;
17.01.2023 09:00 - 17.01.2023 10:00;13610;EUR;
17.01.2023 10:00 - 17.01.2023 11:00;12617;EUR;
17.01.2023 11:00 - 17.01.2023 12:00;12275;EUR;
17.01.2023 12:00 - 17.01.2023 13:00;11607;EUR;
17.01.2023 13:00 - 17.01.2023 14:00;12938;EUR;
17.01.2023 14:00 - 17.01.2023 15:00;12888;EUR;
17.01.2023 15:00 - 17.01.2023 16:00;13750;EUR;
17.01.2023 16:00 - 17.01.2023 17:00;15986;EUR;
17.01.2023 17:00 - 17.01.2023 18:00;15643;EUR;
17.01.2023 18:00 - 17.01.2023 19:00;15200;EUR;
17.01.2023 19:00 - 17.01.2023 20:00;14540;EUR;
17.01.2023 20:00 - 17.01.2023 21:00;13930;EUR;
17.01.2023 21:00 - 17.01.2023 22:00;13615;EUR;
17.01.2023 22:00 - 17.01.2023 23:00;12855;EUR;
17.01.2023 23:00 - 18.01.2023 00:00;12432;EUR;
18.01.2023 00:00 - 18.01.2023 01:00;11904;EUR;
18.01.2023 01:00 - 18.01.2023 02:00;11807;EUR;
18.01.2023 02:00 - 18.01.2023 03:00;11921;EUR;
18.01.2023 03:00 - 18.01.2023 04:00;11893;EUR;
18.01.2023 04:00 - 18.01.2023 05:00;11619;EUR;
18.01.2023 05:00 - 18.01.2023 06:00;12191;EUR;
18.01.2023 06:00 - 18.01.2023 07:00;13039;EUR;
18.01.2023 07:00 - 18.01.2023 08:00;16640;EUR;
18.01.2023 08:00 - 18.01.2023 09:00;18150;EUR;
18.01.2023 09:00 - 18.01.2023 10:00;17656;EUR;
18.01.2023 10:00 - 18.01.2023 11:00;14000;EUR;
18.01.2023 11:00 - 18.01.2023 12:00;13036;EUR;
18.01.2023 12:00 - 18.01.2023 13:00;12294;EUR;
18.01.2023 13:00 - 18.01.2023 14:00;12000;EUR;
18.01.2023 14:00 - 18.01.2023 15:00;12366;EUR;
18.01.2023 15:00 - 18.01.2023 16:00;14000;EUR;
18.01.2023 16:00 - 18.01.2023 17:00;14797;EUR;
18.01.2023 17:00 - 18.01.2023 18:00;16000;EUR;
18.01.2023 18:00 - 18.01.2023 19:00;13748;EUR;
18.01.2023 19:00 - 18.01.2023 20:00;13034;EUR;
18.01.2023 20:00 - 18.01.2023 21:00;12097;EUR;
18.01.2023 21:00 - 18.01.2023 22:00;11990;EUR;
18.01.2023 22:00 - 18.01.2023 23:00;11751;EUR;
18.01.2023 23:00 - 19.01.2023 00:00;11146;EUR;
19.01.2023 00:00 - 19.01.2023 01:00;11153;EUR;
